"SKU","Tamanho Pedido","Loja","Data da Venda","Código Cliente","Preço Unitário","Faturamento","Marca","Categoria"
"HL1021","1","Belo Horizonte","12/1/2016","313","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1019","2","Goiânia","12/1/2016","315","R$ 6,500.00","R$ 13,000.00","Apple","Celular"
"HL1001","5","Belo Horizonte","12/1/2016","123","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1008","3","São Paulo","12/1/2016","202","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1009","3","Recife","1/3/2017","32","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1014","1","Rio de Janeiro","1/3/2017","625","R$ 1,100.00","R$ 1,100.00","Samsung","Celular"
"HL1005","1","Recife","1/3/2017","158","R$ 1,500.00","R$ 1,500.00","Canon","Câmera"
"HL1015","3","Guarulhos","1/3/2017","242","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1023","5","Salvador","1/3/2017","164","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1018","4","São Paulo","1/3/2017","316","R$ 1,200.00","R$ 4,800.00","Xiaomi","Smart Watch"
"HL1021","2","Fortaleza","1/3/2017","609","R$ 3,000.00","R$ 6,000.00","Samsung","Celular"
"HL1005","5","Salvador","1/3/2017","534","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1001","1","Recife","1/3/2017","158","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1008","2","Salvador","1/3/2017","232","R$ 2,000.00","R$ 4,000.00","Philco","Televisão"
"HL1021","2","Campinas","2/3/2017","770","R$ 3,000.00","R$ 6,000.00","Samsung","Celular"
"HL1012","3","Goiânia","2/3/2017","147","R$ 5,500.00","R$ 16,500.00","Dell","Notebook"
"HL1009","1","Curitiba","2/3/2017","412","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1001","2","Curitiba","2/3/2017","85","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1023","3","Salvador","2/3/2017","675","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1019","2","Rio de Janeiro","2/3/2017","377","R$ 6,500.00","R$ 13,000.00","Apple","Celular"
"HL1008","4","Fortaleza","2/3/2017","354","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1002","2","Salvador","3/3/2017","156","R$ 2,500.00","R$ 5,000.00","Apple","Celular"
"HL1007","2","Porto Alegre","3/3/2017","360","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1008","4","Fortaleza","3/3/2017","507","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1020","5","Salvador","3/3/2017","16","R$ 1,500.00","R$ 7,500.00","Motorola","Celular"
"HL1021","3","Niterói","3/3/2017","236","R$ 3,000.00","R$ 9,000.00","Samsung","Celular"
"HL1005","4","Fortaleza","3/3/2017","609","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1009","4","Rio de Janeiro","3/3/2017","326","R$ 1,400.00","R$ 5,600.00","Motorola","Celular"
"HL1024","4","São Paulo","3/3/2017","408","R$ 2,400.00","R$ 9,600.00","Acer","Notebook"
"HL1002","2","Recife","3/3/2017","254","R$ 2,500.00","R$ 5,000.00","Apple","Celular"
"HL1012","1","Niterói","3/3/2017","549","R$ 5,500.00","R$ 5,500.00","Dell","Notebook"
"HL1003","2","Recife","3/3/2017","70","R$ 4,500.00","R$ 9,000.00","Samsung","Celular"
"HL1024","2","Guarulhos","3/3/2017","501","R$ 2,400.00","R$ 4,800.00","Acer","Notebook"
"HL1021","1","Rio de Janeiro","3/3/2017","3","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1023","1","Curitiba","3/3/2017","240","R$ 1,500.00","R$ 1,500.00","Samsung","Notebook"
"HL1018","3","São Paulo","3/3/2017","55","R$ 1,200.00","R$ 3,600.00","Xiaomi","Smart Watch"
"HL1001","2","São Paulo","3/3/2017","312","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1001","1","Nova Iguaçu","4/3/2017","575","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1015","4","Rio de Janeiro","4/3/2017","817","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1002","1","Rio de Janeiro","4/3/2017","29","R$ 2,500.00","R$ 2,500.00","Apple","Celular"
"HL1013","2","Rio de Janeiro","4/3/2017","195","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1001","3","Campinas","4/3/2017","309","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1010","4","São Paulo","4/3/2017","57","R$ 1,900.00","R$ 7,600.00","Apple","Celular"
"HL1021","4","Recife","4/3/2017","555","R$ 3,000.00","R$ 12,000.00","Samsung","Celular"
"HL1005","2","São Paulo","4/3/2017","641","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1015","1","São Paulo","4/3/2017","224","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1015","3","São Paulo","4/3/2017","145","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1024","5","Salvador","4/3/2017","448","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1024","1","Fortaleza","5/3/2017","735","R$ 2,400.00","R$ 2,400.00","Acer","Notebook"
"HL1015","5","Niterói","5/3/2017","809","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1014","3","Guarulhos","5/3/2017","41","R$ 1,100.00","R$ 3,300.00","Samsung","Celular"
"HL1007","5","Salvador","5/3/2017","712","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1015","2","São Paulo","5/3/2017","140","R$ 700.00","R$ 1,400.00","Sony","Câmera"
"HL1009","2","Curitiba","5/3/2017","619","R$ 1,400.00","R$ 2,800.00","Motorola","Celular"
"HL1005","3","Rio de Janeiro","5/3/2017","407","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1019","2","Campinas","6/3/2017","86","R$ 6,500.00","R$ 13,000.00","Apple","Celular"
"HL1021","5","Porto Alegre","6/3/2017","218","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
"HL1009","3","Fortaleza","6/3/2017","657","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1021","5","Belo Horizonte","6/3/2017","456","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
"HL1013","2","São Paulo","6/3/2017","776","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1001","5","Curitiba","6/3/2017","22","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1010","2","Rio de Janeiro","6/3/2017","652","R$ 1,900.00","R$ 3,800.00","Apple","Celular"
"HL1015","5","São Paulo","6/3/2017","683","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1001","2","Fortaleza","6/3/2017","286","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1008","3","Fortaleza","7/3/2017","503","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1009","5","São Paulo","7/3/2017","49","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1001","1","São Paulo","7/3/2017","261","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1015","1","São Paulo","7/3/2017","196","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1015","4","Fortaleza","7/3/2017","697","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1004","3","Guarulhos","7/3/2017","185","R$ 1,750.00","R$ 5,250.00","Apple","Smart Watch"
"HL1001","4","Salvador","7/3/2017","692","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1023","4","Salvador","7/3/2017","82","R$ 1,500.00","R$ 6,000.00","Samsung","Notebook"
"HL1022","5","Rio de Janeiro","7/3/2017","405","R$ 750.00","R$ 3,750.00","Apple","Tablet"
"HL1009","5","Rio de Janeiro","7/3/2017","44","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1009","3","Recife","7/3/2017","513","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1009","1","Fortaleza","7/3/2017","565","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1001","3","Belo Horizonte","7/3/2017","421","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1003","1","Goiânia","8/3/2017","351","R$ 4,500.00","R$ 4,500.00","Samsung","Celular"
"HL1020","3","Campinas","8/3/2017","36","R$ 1,500.00","R$ 4,500.00","Motorola","Celular"
"HL1018","2","Porto Alegre","8/3/2017","816","R$ 1,200.00","R$ 2,400.00","Xiaomi","Smart Watch"
"HL1009","1","São Paulo","8/3/2017","105","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1001","1","São Paulo","8/3/2017","111","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1013","1","São Paulo","8/3/2017","319","R$ 1,550.00","R$ 1,550.00","Nikon","Câmera"
"HL1001","2","Rio de Janeiro","8/3/2017","195","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1007","3","São Paulo","8/3/2017","641","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1009","4","Salvador","8/3/2017","285","R$ 1,400.00","R$ 5,600.00","Motorola","Celular"
"HL1005","3","Rio de Janeiro","8/3/2017","804","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1005","2","São Paulo","8/3/2017","224","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1016","4","Salvador","8/3/2017","482","R$ 1,450.00","R$ 5,800.00","Samsung","Smart Watch"
"HL1020","1","Salvador","8/3/2017","761","R$ 1,500.00","R$ 1,500.00","Motorola","Celular"
"HL1009","3","Recife","8/3/2017","814","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1015","1","Recife","8/3/2017","672","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1021","1","São Paulo","8/3/2017","105","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1005","3","Guarulhos","8/3/2017","318","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1009","5","São Paulo","8/3/2017","316","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1007","3","São Paulo","8/3/2017","316","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1007","4","São Paulo","8/3/2017","79","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1001","5","Belo Horizonte","9/3/2017","193","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1001","5","São Paulo","9/3/2017","160","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1007","5","Curitiba","9/3/2017","812","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1015","1","Nova Iguaçu","9/3/2017","307","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1005","2","Belo Horizonte","9/3/2017","508","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1015","1","Curitiba","9/3/2017","60","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1006","4","Curitiba","9/3/2017","643","R$ 1,400.00","R$ 5,600.00","Samsung","Televisão"
"HL1023","3","Fortaleza","9/3/2017","480","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1015","1","Belo Horizonte","9/3/2017","154","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1009","1","São Paulo","9/3/2017","312","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1024","3","Salvador","9/3/2017","790","R$ 2,400.00","R$ 7,200.00","Acer","Notebook"
"HL1013","3","Recife","9/3/2017","70","R$ 1,550.00","R$ 4,650.00","Nikon","Câmera"
"HL1008","3","Goiânia","9/3/2017","682","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1001","1","Rio de Janeiro","10/3/2017","694","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1001","5","Goiânia","10/3/2017","414","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1009","5","Campinas","10/3/2017","243","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1023","3","São Paulo","10/3/2017","209","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1023","4","Fortaleza","10/3/2017","468","R$ 1,500.00","R$ 6,000.00","Samsung","Notebook"
"HL1007","5","Goiânia","10/3/2017","103","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1017","3","Fortaleza","10/3/2017","354","R$ 5,200.00","R$ 15,600.00","Samsung","Televisão"
"HL1008","4","Salvador","10/3/2017","712","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1002","4","São Paulo","10/3/2017","320","R$ 2,500.00","R$ 10,000.00","Apple","Celular"
"HL1001","3","Fortaleza","10/3/2017","288","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1008","1","Niterói","11/3/2017","390","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1013","1","Salvador","11/3/2017","437","R$ 1,550.00","R$ 1,550.00","Nikon","Câmera"
"HL1021","5","Rio de Janeiro","11/3/2017","325","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
"HL1021","4","Fortaleza","11/3/2017","599","R$ 3,000.00","R$ 12,000.00","Samsung","Celular"
"HL1009","4","Salvador","11/3/2017","799","R$ 1,400.00","R$ 5,600.00","Motorola","Celular"
"HL1009","5","Belo Horizonte","11/3/2017","409","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1012","5","São Paulo","11/3/2017","772","R$ 5,500.00","R$ 27,500.00","Dell","Notebook"
"HL1006","1","Belo Horizonte","11/3/2017","193","R$ 1,400.00","R$ 1,400.00","Samsung","Televisão"
"HL1002","5","Belo Horizonte","11/3/2017","783","R$ 2,500.00","R$ 12,500.00","Apple","Celular"
"HL1003","2","Fortaleza","11/3/2017","601","R$ 4,500.00","R$ 9,000.00","Samsung","Celular"
"HL1006","1","Curitiba","11/3/2017","63","R$ 1,400.00","R$ 1,400.00","Samsung","Televisão"
"HL1023","5","Rio de Janeiro","11/3/2017","572","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1001","4","Rio de Janeiro","11/3/2017","788","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1008","2","Fortaleza","11/3/2017","601","R$ 2,000.00","R$ 4,000.00","Philco","Televisão"
"HL1001","2","São Paulo","12/3/2017","641","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1021","1","Goiânia","12/3/2017","162","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1011","5","Salvador","12/3/2017","675","R$ 2,000.00","R$ 10,000.00","Samsung","Tablet"
"HL1015","4","São Paulo","12/3/2017","698","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1013","3","Fortaleza","12/3/2017","288","R$ 1,550.00","R$ 4,650.00","Nikon","Câmera"
"HL1002","2","Curitiba","12/3/2017","66","R$ 2,500.00","R$ 5,000.00","Apple","Celular"
"HL1013","4","Salvador","12/3/2017","551","R$ 1,550.00","R$ 6,200.00","Nikon","Câmera"
"HL1008","2","Guarulhos","12/3/2017","548","R$ 2,000.00","R$ 4,000.00","Philco","Televisão"
"HL1001","4","Belo Horizonte","12/3/2017","611","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1020","1","Rio de Janeiro","12/3/2017","259","R$ 1,500.00","R$ 1,500.00","Motorola","Celular"
"HL1002","3","Porto Alegre","2/4/2017","746","R$ 2,500.00","R$ 7,500.00","Apple","Celular"
"HL1024","5","Salvador","2/4/2017","109","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1007","2","Belo Horizonte","2/4/2017","385","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1024","3","Belo Horizonte","2/4/2017","23","R$ 2,400.00","R$ 7,200.00","Acer","Notebook"
"HL1011","1","Fortaleza","2/4/2017","292","R$ 2,000.00","R$ 2,000.00","Samsung","Tablet"
"HL1005","1","Goiânia","2/4/2017","614","R$ 1,500.00","R$ 1,500.00","Canon","Câmera"
"HL1019","4","Nova Iguaçu","2/4/2017","647","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1014","3","Salvador","2/4/2017","675","R$ 1,100.00","R$ 3,300.00","Samsung","Celular"
"HL1005","4","Recife","2/4/2017","304","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1009","3","Recife","2/4/2017","158","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1020","4","Guarulhos","2/4/2017","37","R$ 1,500.00","R$ 6,000.00","Motorola","Celular"
"HL1017","2","São Paulo","2/4/2017","140","R$ 5,200.00","R$ 10,400.00","Samsung","Televisão"
"HL1018","1","Porto Alegre","2/4/2017","436","R$ 1,200.00","R$ 1,200.00","Xiaomi","Smart Watch"
"HL1002","4","São Paulo","2/4/2017","209","R$ 2,500.00","R$ 10,000.00","Apple","Celular"
"HL1012","5","Rio de Janeiro","2/4/2017","368","R$ 5,500.00","R$ 27,500.00","Dell","Notebook"
"HL1019","4","Curitiba","2/4/2017","419","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1005","2","Fortaleza","3/4/2017","622","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1008","1","Campinas","3/4/2017","96","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1002","4","São Paulo","3/4/2017","400","R$ 2,500.00","R$ 10,000.00","Apple","Celular"
"HL1007","4","Rio de Janeiro","3/4/2017","589","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1009","5","Belo Horizonte","3/4/2017","180","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1009","5","Recife","3/4/2017","165","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1008","4","Rio de Janeiro","3/4/2017","3","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1010","1","Porto Alegre","3/4/2017","489","R$ 1,900.00","R$ 1,900.00","Apple","Celular"
"HL1013","2","São Paulo","3/4/2017","665","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1008","4","Fortaleza","3/4/2017","171","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1008","3","Belo Horizonte","3/4/2017","441","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1019","4","Porto Alegre","3/4/2017","644","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1009","4","Recife","3/4/2017","547","R$ 1,400.00","R$ 5,600.00","Motorola","Celular"
"HL1005","3","Rio de Janeiro","3/4/2017","694","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1017","2","Rio de Janeiro","3/4/2017","571","R$ 5,200.00","R$ 10,400.00","Samsung","Televisão"
"HL1001","1","Curitiba","3/4/2017","705","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1002","4","Campinas","3/4/2017","755","R$ 2,500.00","R$ 10,000.00","Apple","Celular"
"HL1023","4","Porto Alegre","3/4/2017","525","R$ 1,500.00","R$ 6,000.00","Samsung","Notebook"
"HL1018","3","São Paulo","3/4/2017","105","R$ 1,200.00","R$ 3,600.00","Xiaomi","Smart Watch"
"HL1019","3","Guarulhos","4/4/2017","26","R$ 6,500.00","R$ 19,500.00","Apple","Celular"
"HL1015","5","Recife","4/4/2017","566","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1019","1","Recife","4/4/2017","653","R$ 6,500.00","R$ 6,500.00","Apple","Celular"
"HL1021","3","Guarulhos","4/4/2017","214","R$ 3,000.00","R$ 9,000.00","Samsung","Celular"
"HL1001","1","Fortaleza","4/4/2017","503","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1001","1","São Paulo","4/4/2017","310","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1006","2","Recife","4/4/2017","144","R$ 1,400.00","R$ 2,800.00","Samsung","Televisão"
"HL1018","1","São Paulo","4/4/2017","776","R$ 1,200.00","R$ 1,200.00","Xiaomi","Smart Watch"
"HL1013","5","Rio de Janeiro","4/4/2017","817","R$ 1,550.00","R$ 7,750.00","Nikon","Câmera"
"HL1015","4","Goiânia","4/4/2017","349","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1002","3","Belo Horizonte","4/4/2017","193","R$ 2,500.00","R$ 7,500.00","Apple","Celular"
"HL1003","2","Rio de Janeiro","4/4/2017","499","R$ 4,500.00","R$ 9,000.00","Samsung","Celular"
"HL1001","1","Niterói","4/4/2017","71","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1024","5","Campinas","4/4/2017","552","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1014","5","Rio de Janeiro","4/4/2017","492","R$ 1,100.00","R$ 5,500.00","Samsung","Celular"
"HL1020","2","Porto Alegre","4/4/2017","203","R$ 1,500.00","R$ 3,000.00","Motorola","Celular"
"HL1021","3","Salvador","4/4/2017","252","R$ 3,000.00","R$ 9,000.00","Samsung","Celular"
"HL1001","5","São Paulo","4/4/2017","49","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1011","2","São Paulo","5/4/2017","665","R$ 2,000.00","R$ 4,000.00","Samsung","Tablet"
"HL1017","4","São Paulo","5/4/2017","55","R$ 5,200.00","R$ 20,800.00","Samsung","Televisão"
"HL1019","5","Curitiba","5/4/2017","714","R$ 6,500.00","R$ 32,500.00","Apple","Celular"
"HL1009","5","São Paulo","5/4/2017","105","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1001","5","Rio de Janeiro","5/4/2017","558","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1006","2","São Paulo","5/4/2017","111","R$ 1,400.00","R$ 2,800.00","Samsung","Televisão"
"HL1023","3","Salvador","5/4/2017","594","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1024","1","Belo Horizonte","5/4/2017","193","R$ 2,400.00","R$ 2,400.00","Acer","Notebook"
"HL1009","5","Recife","5/4/2017","219","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1004","2","Porto Alegre","5/4/2017","159","R$ 1,750.00","R$ 3,500.00","Apple","Smart Watch"
"HL1015","3","Campinas","5/4/2017","257","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1007","2","São Paulo","5/4/2017","303","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1003","4","Guarulhos","5/4/2017","318","R$ 4,500.00","R$ 18,000.00","Samsung","Celular"
"HL1010","3","Belo Horizonte","5/4/2017","660","R$ 1,900.00","R$ 5,700.00","Apple","Celular"
"HL1021","3","Belo Horizonte","5/4/2017","193","R$ 3,000.00","R$ 9,000.00","Samsung","Celular"
"HL1018","3","Rio de Janeiro","5/4/2017","325","R$ 1,200.00","R$ 3,600.00","Xiaomi","Smart Watch"
"HL1007","3","Fortaleza","5/4/2017","740","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1001","2","Salvador","6/4/2017","481","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1023","5","Salvador","6/4/2017","692","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1001","1","Recife","6/4/2017","459","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1003","4","Rio de Janeiro","6/4/2017","572","R$ 4,500.00","R$ 18,000.00","Samsung","Celular"
"HL1005","5","Guarulhos","6/4/2017","538","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1022","4","Belo Horizonte","6/4/2017","80","R$ 750.00","R$ 3,000.00","Apple","Tablet"
"HL1018","4","Nova Iguaçu","6/4/2017","477","R$ 1,200.00","R$ 4,800.00","Xiaomi","Smart Watch"
"HL1001","2","Fortaleza","6/4/2017","468","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1001","4","Belo Horizonte","6/4/2017","651","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1005","5","São Paulo","6/4/2017","310","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1020","1","Recife","6/4/2017","513","R$ 1,500.00","R$ 1,500.00","Motorola","Celular"
"HL1012","2","Belo Horizonte","6/4/2017","180","R$ 5,500.00","R$ 11,000.00","Dell","Notebook"
"HL1019","1","Belo Horizonte","6/4/2017","475","R$ 6,500.00","R$ 6,500.00","Apple","Celular"
"HL1024","5","Belo Horizonte","6/4/2017","651","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1019","4","Fortaleza","6/4/2017","183","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1019","3","Rio de Janeiro","6/4/2017","259","R$ 6,500.00","R$ 19,500.00","Apple","Celular"
"HL1001","4","Salvador","7/4/2017","765","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1024","2","Niterói","7/4/2017","767","R$ 2,400.00","R$ 4,800.00","Acer","Notebook"
"HL1023","4","Rio de Janeiro","7/4/2017","443","R$ 1,500.00","R$ 6,000.00","Samsung","Notebook"
"HL1005","2","Belo Horizonte","7/4/2017","483","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1015","4","São Paulo","7/4/2017","683","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1008","3","Belo Horizonte","7/4/2017","383","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1015","2","Campinas","7/4/2017","265","R$ 700.00","R$ 1,400.00","Sony","Câmera"
"HL1008","3","Fortaleza","7/4/2017","601","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1023","1","Salvador","7/4/2017","285","R$ 1,500.00","R$ 1,500.00","Samsung","Notebook"
"HL1006","3","Rio de Janeiro","7/4/2017","325","R$ 1,400.00","R$ 4,200.00","Samsung","Televisão"
"HL1021","1","Nova Iguaçu","7/4/2017","575","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1008","1","São Paulo","7/4/2017","145","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1002","3","Curitiba","7/4/2017","741","R$ 2,500.00","R$ 7,500.00","Apple","Celular"
"HL1018","4","Rio de Janeiro","7/4/2017","326","R$ 1,200.00","R$ 4,800.00","Xiaomi","Smart Watch"
"HL1017","2","Rio de Janeiro","7/4/2017","374","R$ 5,200.00","R$ 10,400.00","Samsung","Televisão"
"HL1017","1","Curitiba","7/4/2017","271","R$ 5,200.00","R$ 5,200.00","Samsung","Televisão"
"HL1005","5","São Paulo","7/4/2017","312","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1007","5","Rio de Janeiro","7/4/2017","213","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1006","2","São Paulo","7/4/2017","160","R$ 1,400.00","R$ 2,800.00","Samsung","Televisão"
"HL1009","4","Goiânia","7/4/2017","679","R$ 1,400.00","R$ 5,600.00","Motorola","Celular"
"HL1024","5","São Paulo","7/4/2017","797","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1003","4","São Paulo","7/4/2017","776","R$ 4,500.00","R$ 18,000.00","Samsung","Celular"
"HL1001","4","Recife","7/4/2017","304","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1008","1","São Paulo","8/4/2017","773","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1007","5","Goiânia","8/4/2017","173","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1024","1","Belo Horizonte","8/4/2017","475","R$ 2,400.00","R$ 2,400.00","Acer","Notebook"
"HL1015","5","Goiânia","8/4/2017","387","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1002","3","Guarulhos","8/4/2017","302","R$ 2,500.00","R$ 7,500.00","Apple","Celular"
"HL1007","5","Belo Horizonte","8/4/2017","508","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
